Part,LCSC Part #,Manufacturer,MPN,Supplier,Unit Price,Qty,Total,Purpose,Notes,Alt Part
ESP32-C3-MINI-1,C2935306,ESPRESSIF,ESP32-C3-MINI-1-H4,LCSC,$2.92,1,$2.92,WiFi + BLE,"Qty 100+: $2.24",ESP32-C3-WROOM-02
SSD1306 OLED,C2890361,Generic,0.96" I2C OLED,LCSC,$1.48,1,$1.48,Radar HUD,"128x64, I2C addr 0x3C",SH1106 1.3" (C7465996)
DRV2605L Haptic Driver,C527464,Texas Instruments,DRV2605LDGSR,LCSC,$1.85,1,$1.85,Haptic effects,"I2C, ERM+LRA support",Direct PWM drive
10mm ERM Motor,C2894691,Generic,3V ERM,LCSC,$0.35,1,$0.35,Vibration motor,"3V, 10mm diameter",LRA motor (+$0.50)
WS2812B LED,C114581,Worldsemi,WS2812B,LCSC,$0.08,3,$0.24,RGB LED,"5050 SMD, 5V logic",SK6812 drop-in
502535 LiPo Battery,-,Generic,3.7V 500mAh,AliExpress,$2.50,1,$2.50,Battery,"4hr runtime",602535 600mAh
MCP73831T Charger,C424093,Microchip,MCP73831T-2ACI/OT,LCSC,$0.55,1,$0.55,LiPo charger,"SOT-23-5, 4.2V",TP4056 (+$0.10)
USB-C Connector,C2988369,Generic,TYPE-C 16P SMD,LCSC,$0.25,1,$0.25,Charging port,"16-pin SMD",Micro-USB (-$0.10)
PCB 30x40mm,-,JLCPCB,2-layer FR4,JLCPCB,$1.50,1,$1.50,Mainboard,"5pcq = $0.30/ea",Hand-wire
Passives 0402,-,Various,R/C/pullups,LCSC,$0.50,1,$0.50,Decoupling,"10x resistors, 10x capacitors",-
TPU Case,-,Self,3D printed,Printables,$1.00,1,$1.00,Enclosure,"TPU, 0.2mm layer",Silicone sleeve
NATO Strap,-,Generic,20mm NATO,AliExpress,$1.50,1,$1.50,Wrist strap,"Nylon, paint resistant",Silicone strap (+$0.50)
